tile_id,var_folder
6117_863,/normalized_z_sd
6128_470,/normalized_z_sd
6139_633,/normalized_z_sd
6076_531,/normalized_z_sd
6076_532,/normalized_z_sd
6094_665,/normalized_z_sd
6164_741,/normalized_z_sd
6345_626,/normalized_z_sd
6137_632,/normalized_z_sd
6071_520,/normalized_z_sd
6071_521,/normalized_z_sd
6071_522,/normalized_z_sd
6124_474,/normalized_z_sd
6074_527,/normalized_z_sd
6074_526,/normalized_z_sd
6074_529,/normalized_z_sd
6124_615,/normalized_z_sd
6134_623,/normalized_z_sd
6080_536,/normalized_z_sd
6132_628,/normalized_z_sd
6103_474,/normalized_z_sd
6133_631,/normalized_z_sd
6133_630,/normalized_z_sd
6132_629,/normalized_z_sd
6101_464,/normalized_z_sd
6103_473,/normalized_z_sd
6104_473,/normalized_z_sd
6132_627,/normalized_z_sd
6075_530,/normalized_z_sd
6075_529,/normalized_z_sd
6117_466,/normalized_z_sd
6104_474,/normalized_z_sd
6050_682,/normalized_z_sd
6074_528,/normalized_z_sd
6133_476,/normalized_z_sd
6105_464,/normalized_z_sd
6130_474,/normalized_z_sd
6135_626,/point_count\building_point_count_-01m-50m
6120_476,/point_count\building_point_count_-01m-50m
6132_629,/point_count\building_point_count_-01m-50m
6164_741,/point_count\building_point_count_-01m-50m
6345_626,/point_count\building_point_count_-01m-50m
6345_611,/point_count\building_point_count_-01m-50m
6121_476,/point_count\building_point_count_-01m-50m
6136_631,/point_count\building_point_count_-01m-50m
6120_470,/point_count\building_point_count_-01m-50m
6117_466,/point_count\building_point_count_-01m-50m
6124_474,/point_count\building_point_count_-01m-50m
6099_468,/point_count\building_point_count_-01m-50m
6130_621,/point_count\building_point_count_-01m-50m
6133_476,/point_count\building_point_count_-01m-50m
6124_615,/point_count\building_point_count_-01m-50m
6142_472,/point_count\building_point_count_-01m-50m
6124_475,/point_count\building_point_count_-01m-50m
6125_475,/point_count\building_point_count_-01m-50m
6130_474,/point_count\building_point_count_-01m-50m
6135_626,/point_count\ground_and_water_point_count_-01m-01m
6120_476,/point_count\ground_and_water_point_count_-01m-01m
6132_629,/point_count\ground_and_water_point_count_-01m-01m
6164_741,/point_count\ground_and_water_point_count_-01m-01m
6345_626,/point_count\ground_and_water_point_count_-01m-01m
6345_611,/point_count\ground_and_water_point_count_-01m-01m
6121_476,/point_count\ground_and_water_point_count_-01m-01m
6136_631,/point_count\ground_and_water_point_count_-01m-01m
6120_470,/point_count\ground_and_water_point_count_-01m-01m
6117_466,/point_count\ground_and_water_point_count_-01m-01m
6124_474,/point_count\ground_and_water_point_count_-01m-01m
6099_468,/point_count\ground_and_water_point_count_-01m-01m
6130_621,/point_count\ground_and_water_point_count_-01m-01m
6133_476,/point_count\ground_and_water_point_count_-01m-01m
6124_615,/point_count\ground_and_water_point_count_-01m-01m
6142_472,/point_count\ground_and_water_point_count_-01m-01m
6124_475,/point_count\ground_and_water_point_count_-01m-01m
6125_475,/point_count\ground_and_water_point_count_-01m-01m
6130_474,/point_count\ground_and_water_point_count_-01m-01m
6135_626,/point_count\ground_point_count_-01m-01m
6120_476,/point_count\ground_point_count_-01m-01m
6132_629,/point_count\ground_point_count_-01m-01m
6164_741,/point_count\ground_point_count_-01m-01m
6345_626,/point_count\ground_point_count_-01m-01m
6345_611,/point_count\ground_point_count_-01m-01m
6121_476,/point_count\ground_point_count_-01m-01m
6136_631,/point_count\ground_point_count_-01m-01m
6120_470,/point_count\ground_point_count_-01m-01m
6117_466,/point_count\ground_point_count_-01m-01m
6124_474,/point_count\ground_point_count_-01m-01m
6099_468,/point_count\ground_point_count_-01m-01m
6130_621,/point_count\ground_point_count_-01m-01m
6133_476,/point_count\ground_point_count_-01m-01m
6124_615,/point_count\ground_point_count_-01m-01m
6142_472,/point_count\ground_point_count_-01m-01m
6124_475,/point_count\ground_point_count_-01m-01m
6125_475,/point_count\ground_point_count_-01m-01m
6130_474,/point_count\ground_point_count_-01m-01m
6135_626,/point_count\total_point_count_-01m-50m
6120_476,/point_count\total_point_count_-01m-50m
6132_629,/point_count\total_point_count_-01m-50m
6164_741,/point_count\total_point_count_-01m-50m
6345_626,/point_count\total_point_count_-01m-50m
6345_611,/point_count\total_point_count_-01m-50m
6121_476,/point_count\total_point_count_-01m-50m
6136_631,/point_count\total_point_count_-01m-50m
6120_470,/point_count\total_point_count_-01m-50m
6117_466,/point_count\total_point_count_-01m-50m
6124_474,/point_count\total_point_count_-01m-50m
6099_468,/point_count\total_point_count_-01m-50m
6130_621,/point_count\total_point_count_-01m-50m
6133_476,/point_count\total_point_count_-01m-50m
6124_615,/point_count\total_point_count_-01m-50m
6142_472,/point_count\total_point_count_-01m-50m
6124_475,/point_count\total_point_count_-01m-50m
6125_475,/point_count\total_point_count_-01m-50m
6130_474,/point_count\total_point_count_-01m-50m
6135_626,/point_count\vegetation_point_count_00.0m-00.5m
6120_476,/point_count\vegetation_point_count_00.0m-00.5m
6132_629,/point_count\vegetation_point_count_00.0m-00.5m
6164_741,/point_count\vegetation_point_count_00.0m-00.5m
6345_626,/point_count\vegetation_point_count_00.0m-00.5m
6345_611,/point_count\vegetation_point_count_00.0m-00.5m
6121_476,/point_count\vegetation_point_count_00.0m-00.5m
6136_631,/point_count\vegetation_point_count_00.0m-00.5m
6120_470,/point_count\vegetation_point_count_00.0m-00.5m
6117_466,/point_count\vegetation_point_count_00.0m-00.5m
6124_474,/point_count\vegetation_point_count_00.0m-00.5m
6099_468,/point_count\vegetation_point_count_00.0m-00.5m
6130_621,/point_count\vegetation_point_count_00.0m-00.5m
6133_476,/point_count\vegetation_point_count_00.0m-00.5m
6124_615,/point_count\vegetation_point_count_00.0m-00.5m
6142_472,/point_count\vegetation_point_count_00.0m-00.5m
6124_475,/point_count\vegetation_point_count_00.0m-00.5m
6125_475,/point_count\vegetation_point_count_00.0m-00.5m
6130_474,/point_count\vegetation_point_count_00.0m-00.5m
6135_626,/point_count\vegetation_point_count_00.5m-01.0m
6120_476,/point_count\vegetation_point_count_00.5m-01.0m
6132_629,/point_count\vegetation_point_count_00.5m-01.0m
6164_741,/point_count\vegetation_point_count_00.5m-01.0m
6345_626,/point_count\vegetation_point_count_00.5m-01.0m
6345_611,/point_count\vegetation_point_count_00.5m-01.0m
6121_476,/point_count\vegetation_point_count_00.5m-01.0m
6136_631,/point_count\vegetation_point_count_00.5m-01.0m
6120_470,/point_count\vegetation_point_count_00.5m-01.0m
6117_466,/point_count\vegetation_point_count_00.5m-01.0m
6124_474,/point_count\vegetation_point_count_00.5m-01.0m
6099_468,/point_count\vegetation_point_count_00.5m-01.0m
6130_621,/point_count\vegetation_point_count_00.5m-01.0m
6133_476,/point_count\vegetation_point_count_00.5m-01.0m
6124_615,/point_count\vegetation_point_count_00.5m-01.0m
6142_472,/point_count\vegetation_point_count_00.5m-01.0m
6124_475,/point_count\vegetation_point_count_00.5m-01.0m
6125_475,/point_count\vegetation_point_count_00.5m-01.0m
6130_474,/point_count\vegetation_point_count_00.5m-01.0m
6135_626,/point_count\vegetation_point_count_00m-50m
6120_476,/point_count\vegetation_point_count_00m-50m
6132_629,/point_count\vegetation_point_count_00m-50m
6164_741,/point_count\vegetation_point_count_00m-50m
6345_626,/point_count\vegetation_point_count_00m-50m
